2026-02-27 12:01:07 [info]: Server started on http://localhost:5173
2026-02-27 12:03:17 [info]: Server started on http://localhost:5173
2026-02-27 12:32:23 [info]: Server started on http://localhost:5000
2026-02-27 12:32:42 [info]: Server started on http://localhost:5000
2026-02-27 12:33:01 [info]: Server started on http://localhost:5000
2026-02-27 12:34:23 [info]: Server started on http://localhost:5050
2026-02-27 12:34:25 [info]: GET / 200 - 8ms
2026-02-27 12:34:26 [info]: GET /favicon.ico 404 - 3ms
2026-02-27 12:34:43 [info]: GET /health 200 - 20ms
2026-02-27 12:34:47 [info]: GET /health 200 - 2ms
2026-02-27 12:34:47 [info]: GET /health 200 - 2ms
2026-02-27 12:34:48 [info]: GET /health 200 - 1ms
2026-02-27 12:34:48 [info]: GET /health 200 - 1ms
2026-02-27 12:34:48 [info]: GET /health 200 - 0ms
2026-02-27 12:34:49 [info]: GET /health 200 - 1ms
2026-02-27 12:34:49 [info]: GET /health 200 - 1ms
2026-02-27 12:34:53 [info]: GET / 304 - 3ms
2026-02-27 12:37:47 [info]: Server started on http://localhost:5050
2026-02-27 15:17:22 [info]: Server started on http://localhost:5050
2026-02-27 15:18:22 [info]: Server started on http://localhost:5050
2026-02-27 15:33:23 [info]: GET / 304 - 30ms
2026-02-27 15:33:23 [info]: GET / 304 - 0ms
2026-02-27 15:33:24 [info]: GET / 304 - 0ms
2026-02-27 15:33:24 [info]: GET / 304 - 0ms
2026-02-27 15:33:24 [info]: GET / 304 - 1ms
2026-02-27 15:33:24 [info]: GET / 304 - 1ms
2026-02-27 15:33:25 [info]: GET / 304 - 1ms
2026-02-27 15:33:25 [info]: GET / 304 - 0ms
2026-02-27 15:33:25 [info]: GET / 304 - 1ms
2026-02-27 15:33:25 [info]: GET / 304 - 1ms
2026-02-27 15:33:26 [info]: GET / 304 - 2ms
2026-02-27 15:33:26 [info]: GET / 304 - 1ms
2026-02-27 15:33:26 [info]: GET / 304 - 1ms
2026-02-27 15:33:26 [info]: GET / 304 - 0ms
2026-02-27 15:33:27 [info]: GET / 304 - 1ms
2026-02-27 15:33:28 [info]: GET / 304 - 1ms
2026-02-27 15:33:28 [info]: GET / 304 - 0ms
2026-02-27 15:37:56 [info]: GET / 304 - 2ms
2026-02-27 15:37:57 [info]: GET / 304 - 1ms
2026-02-27 15:37:58 [info]: GET / 304 - 0ms
2026-02-27 15:37:59 [info]: GET / 304 - 1ms
2026-02-27 15:38:00 [info]: GET / 304 - 1ms
2026-02-27 15:42:29 [info]: GET / 304 - 2ms
2026-02-27 15:42:30 [info]: GET / 304 - 1ms
2026-02-27 15:42:30 [info]: GET / 304 - 1ms
2026-02-27 15:42:30 [info]: GET / 304 - 1ms
2026-02-27 15:42:30 [info]: GET / 304 - 0ms
2026-02-27 15:42:31 [info]: GET / 304 - 0ms
2026-02-27 15:42:31 [info]: GET / 304 - 1ms
2026-02-27 15:42:31 [info]: GET / 304 - 1ms
2026-02-27 15:42:32 [info]: GET / 304 - 1ms
2026-02-27 15:47:28 [info]: Server started on http://localhost:5500
2026-02-27 15:48:50 [info]: Server started on http://localhost:5500
2026-02-27 15:49:13 [info]: GET / 200 - 17ms
2026-02-27 15:49:13 [info]: GET /favicon.ico 404 - 2ms
2026-02-27 15:49:52 [info]: GET / 304 - 2ms
2026-02-27 15:49:53 [info]: GET / 304 - 1ms
2026-02-27 15:49:53 [info]: GET / 304 - 1ms
2026-02-27 15:49:53 [info]: GET / 304 - 0ms
2026-02-27 15:49:53 [info]: GET / 304 - 1ms
2026-02-27 15:49:53 [info]: GET / 304 - 1ms
2026-02-27 15:49:54 [info]: GET / 304 - 1ms
2026-02-27 15:49:54 [info]: GET / 304 - 1ms
2026-02-27 15:49:54 [info]: GET / 304 - 1ms
2026-02-27 15:49:54 [info]: GET / 304 - 0ms
2026-02-27 15:49:54 [info]: GET / 304 - 1ms
2026-02-27 15:49:55 [info]: GET / 304 - 0ms
2026-02-27 15:50:10 [info]: GET / 304 - 3ms
2026-02-27 15:50:11 [info]: GET / 304 - 1ms
2026-02-27 15:50:11 [info]: GET / 304 - 1ms
2026-02-27 15:50:11 [info]: GET / 304 - 1ms
2026-02-27 15:50:11 [info]: GET / 304 - 1ms
2026-02-27 15:50:11 [info]: GET / 304 - 1ms
2026-02-27 15:50:12 [info]: GET / 304 - 0ms
2026-02-27 15:50:12 [info]: GET / 304 - 1ms
2026-02-27 15:50:12 [info]: GET / 304 - 0ms
2026-02-27 15:50:12 [info]: GET / 304 - 0ms
2026-02-27 15:50:13 [info]: GET / 304 - 1ms
2026-02-27 15:50:13 [info]: GET / 304 - 1ms
2026-02-27 15:50:14 [info]: GET / 304 - 1ms
2026-02-27 15:50:14 [info]: GET / 304 - 1ms
2026-02-27 15:50:49 [info]: GET / 304 - 11ms
2026-02-27 15:50:50 [info]: GET / 304 - 1ms
2026-02-27 15:50:50 [info]: GET / 304 - 0ms
2026-02-27 15:50:50 [info]: GET / 304 - 0ms
2026-02-27 15:52:36 [info]: GET / 304 - 2ms
2026-02-27 15:52:37 [info]: GET / 304 - 1ms
2026-02-27 15:52:37 [info]: GET / 304 - 1ms
2026-02-27 15:52:48 [info]: GET / 304 - 1ms
2026-02-27 15:52:48 [info]: GET / 304 - 1ms
2026-02-27 15:52:48 [info]: GET / 304 - 0ms
2026-02-27 15:52:49 [info]: GET / 304 - 1ms
2026-02-27 15:52:49 [info]: GET / 304 - 1ms
2026-02-27 15:52:49 [info]: GET / 304 - 0ms
2026-02-27 15:52:49 [info]: GET / 304 - 0ms
2026-02-27 15:52:49 [info]: GET / 304 - 1ms
2026-02-27 15:52:49 [info]: GET / 304 - 1ms
2026-02-27 15:52:50 [info]: GET / 304 - 0ms
2026-02-27 16:29:24 [info]: Server started on http://localhost:5050
2026-02-27 16:29:34 [info]: GET / 200 - 9ms
2026-02-27 16:29:52 [info]: GET / 304 - 2ms
2026-02-27 16:29:52 [info]: GET / 304 - 1ms
2026-02-27 16:29:53 [info]: GET / 304 - 1ms
2026-02-27 16:29:53 [info]: GET / 304 - 1ms
2026-02-27 16:29:54 [info]: GET / 304 - 1ms
2026-02-27 16:29:54 [info]: GET / 304 - 1ms
2026-02-27 16:29:57 [info]: GET / 304 - 1ms
2026-02-27 16:29:57 [info]: GET / 304 - 1ms
2026-02-27 16:29:57 [info]: GET / 304 - 1ms
2026-02-27 16:29:57 [info]: GET / 304 - 1ms
2026-02-27 16:29:57 [info]: GET / 304 - 1ms
2026-02-27 16:29:58 [info]: GET / 304 - 1ms
2026-02-27 16:30:02 [info]: GET / 304 - 1ms
2026-02-27 16:30:02 [info]: GET / 304 - 0ms
2026-02-27 16:30:09 [info]: GET /health 200 - 2ms
2026-02-27 16:30:19 [info]: GET / 304 - 1ms
2026-02-27 16:30:21 [info]: GET / 304 - 1ms
2026-02-27 16:34:28 [info]: Server started on http://localhost:5050
2026-02-27 16:34:39 [info]: GET / 200 - 14ms
2026-02-27 16:34:53 [info]: Server started on http://localhost:5050
2026-02-27 16:34:54 [info]: GET / 200 - 5ms
2026-02-27 16:35:05 [info]: Server started on http://localhost:5050
2026-02-27 16:35:05 [info]: GET / 200 - 3ms
2026-02-27 16:58:30 [info]: Server started on http://localhost:5050
2026-02-27 17:29:47 [info]: GET / 304 - 28ms
2026-02-27 17:29:47 [info]: GET / 304 - 1ms
2026-02-27 17:29:47 [info]: GET / 304 - 0ms
2026-02-27 17:29:48 [info]: GET / 304 - 1ms
2026-02-27 17:29:48 [info]: GET / 304 - 1ms
2026-02-27 17:31:48 [info]: GET / 304 - 11ms
2026-02-27 17:31:48 [info]: GET / 304 - 1ms
2026-02-27 17:31:49 [info]: GET / 304 - 1ms
2026-02-27 17:31:49 [info]: GET / 304 - 1ms
2026-02-27 17:39:12 [info]: GET / 304 - 16ms
2026-02-27 17:46:01 [info]: GET / 304 - 10ms
2026-02-27 17:46:01 [info]: GET / 304 - 0ms
2026-02-27 17:46:01 [info]: GET / 304 - 0ms
2026-02-27 17:46:02 [info]: GET / 304 - 0ms
2026-02-27 17:46:02 [info]: GET / 304 - 1ms
2026-02-27 17:46:03 [info]: GET / 304 - 1ms
2026-02-27 17:46:03 [info]: GET / 304 - 1ms
